epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,217.491,1.22926,1.00477,1.13354,0.0025,0.33333,0.00121,0.0002,2.68862,8.82823,2.42428,0.0008912,0.0008912,0.0008912
114,218.039,1.13959,0.73506,1.03363,0.0025,0.33333,0.00153,0.00036,2.82013,5.47388,2.46643,0.0008813,0.0008813,0.0008813
115,218.584,1.19009,0.99057,1.33193,0.0025,0.33333,0.00153,0.00036,2.82013,5.47388,2.46643,0.0008714,0.0008714,0.0008714
116,219.155,1.22603,0.96024,1.1836,0.03026,0.11111,0.00867,0.00232,2.84377,4.72913,2.47278,0.0008615,0.0008615,0.0008615
117,219.696,1.46495,1.0991,1.2611,0.03026,0.11111,0.00867,0.00232,2.84377,4.72913,2.47278,0.0008516,0.0008516,0.0008516
118,220.245,1.18599,0.92789,1.10524,0.10738,0.11111,0.01627,0.00365,2.92345,4.70729,2.64065,0.0008417,0.0008417,0.0008417
119,220.833,1.16698,0.82727,1.1194,0.10738,0.11111,0.01627,0.00365,2.92345,4.70729,2.64065,0.0008318,0.0008318,0.0008318
120,221.381,1.12998,0.91449,1.1335,0.07762,0.11111,0.01176,0.00145,2.84371,5.34474,2.79705,0.0008219,0.0008219,0.0008219
121,221.95,1.14838,0.96553,1.04425,0.07762,0.11111,0.01176,0.00145,2.84371,5.34474,2.79705,0.000812,0.000812,0.000812
122,222.549,1.08882,0.75686,1.08827,0.1649,0.11111,0.03102,0.00447,2.64581,4.35228,2.72726,0.0008021,0.0008021,0.0008021
123,223.157,1.20486,1.06625,1.15754,0.1649,0.11111,0.03102,0.00447,2.64581,4.35228,2.72726,0.0007922,0.0007922,0.0007922
124,223.75,1.01103,0.71045,1.038,0.07048,0.22222,0.02368,0.00418,2.64736,4.61557,2.97535,0.0007823,0.0007823,0.0007823
125,224.325,1.17011,0.95996,1.21912,0.07048,0.22222,0.02368,0.00418,2.64736,4.61557,2.97535,0.0007724,0.0007724,0.0007724
126,224.918,1.07768,0.94129,1.102,0.08591,0.11111,0.02036,0.00272,2.73199,4.41361,3.11398,0.0007625,0.0007625,0.0007625
127,225.485,1.03823,0.9258,1.10918,0.08591,0.11111,0.02036,0.00272,2.73199,4.41361,3.11398,0.0007526,0.0007526,0.0007526
128,226.111,1.01943,0.94404,1.20458,0.14288,0.22222,0.04572,0.008,2.85942,4.32345,2.9843,0.0007427,0.0007427,0.0007427
129,226.721,1.30762,0.95982,1.29843,0.14288,0.22222,0.04572,0.008,2.85942,4.32345,2.9843,0.0007328,0.0007328,0.0007328
